Obs	HORAS_CONSUMO_STREAMING	GASTO_STREAMING
1	9.3	 $436.28 
2	11.87	 $427.33 
3	18.96	 $524.25 
4	10.48	 $481.16 
5	15.94	 $450.18 
6	11.93	 $646.78 
7	10.05	 $516.33 
8	14.34	 $672.94 
9	10.98	 $237.58 
10	9.66	 $295.60 
11	13.81	 $619.58 
12	10.71	 $250.82 
13	10.2	 $573.95 
14	6.51	 $431.85 
15	13.18	 $550.20 
16	9.81	 $453.47 
17	14.98	 $313.21 
18	11.92	 $590.63 
19	15.85	 $846.47 
20	11.91	 $560.64 
21	10.74	 $464.21 
22	13.48	 $645.05 
23	12.41	 $612.59 
24	11.19	 $507.59 
25	13.75	 $431.45 
26	13.95	 $597.85 
27	12.71	 $366.44 
28	10.87	 $239.97 
29	10.91	 $507.87 
30	17.99	 $854.31 
31	11.33	 $426.34 
32	8.33	 $643.98 
33	13.61	 $749.98 
34	15.21	 $642.90 
35	12.03	 $544.03 
36	13.48	 $342.55 
37	8.6	 $482.99 
38	11.52	 $468.32 
39	16.73	 $463.30 
40	11.21	 $564.44 
41	7.83	 $499.35 
42	12.1	 $343.92 
43	15.75	 $393.85 
44	10.18	 $376.23 
45	18.44	 $472.55 
46	13.42	 $392.29 
47	5.97	 $608.57 
48	7.61	 $553.94 
49	11.83	 $458.08 
50	7.39	 $478.85 
51	14.56	 $811.11 
52	15.71	 $467.88 
53	15.19	 $624.53 
54	11.96	 $502.12 
55	12.08	 $614.16 
56	16.58	 $435.55 
57	12.3	 $231.58 
58	15.67	 $629.60 
59	12.16	 $806.62 
60	9.83	 $472.31 
61	13.78	 $479.97 
62	13.42	 $434.50 
63	11.1	 $422.40 
64	15.84	 $472.49 
65	13.27	 $413.32 
66	15.38	 $467.68 
67	11.51	 $366.13 
68	12.09	 $567.53 
69	14.57	 $614.04 
70	13.17	 $739.58 
71	11.18	 $376.90 
72	7.65	 $419.33 
73	11.37	 $843.38 
74	12.64	 $830.15 
75	9.42	 $287.45 
76	14.98	 $391.81 
77	12.88	 $546.07 
78	7.49	 $415.58 
79	12.5	 $362.39 
80	12.03	 $336.04 
81	12.29	 $640.33 
82	16.02	 $464.51 
83	5.08	 $361.01 
84	13.55	 $520.57 
85	12.92	 $397.60 
86	11.86	 $737.57 
87	6.91	 $379.43 
88	12.64	 $636.93 
89	19.59	" $1,301.74 "
90	11.18	 $423.37 
91	11.89	 $643.18 
92	19.05	" $1,165.65 "
93	13.08	 $594.15 
94	7.02	 $458.72 
95	16.8	 $270.40 
96	10.49	 $495.54 
97	10.75	 $500.67 
98	10.9	 $479.18 
99	11.74	 $423.80 
100	19.53	 $828.56 
101	14.73	 $508.88 
102	13.89	 $706.54 
103	7.91	 $419.03 
104	10.66	 $490.48 
105	16.62	 $559.56 
106	11.71	 $390.75 
107	11.82	 $810.42 
108	14.08	 $533.44 
109	11.78	 $441.53 
110	7.34	 $531.33 
111	11.27	 $351.40 
112	16.15	 $881.36 
113	10.1	 $556.23 
114	15.52	 $451.01 
115	14.81	 $629.28 
116	13.89	 $942.48 
117	13.2	 $676.62 
118	11.53	 $500.47 
119	11.81	 $903.93 
120	15.82	 $367.64 
121	9.57	 $570.82 
122	8.83	 $518.93 
123	13.77	 $628.55 
124	17.4	 $825.80 
125	16.39	 $573.79 
126	9.95	 $511.12 
127	15.47	 $444.25 
128	17.62	 $449.89 
129	13	 $474.34 
130	4.39	 $339.61 
131	13.54	 $319.85 
132	15.06	" $1,411.72 "
133	15.66	 $397.24 
134	15.89	 $535.26 
135	10.15	 $500.96 
136	4.58	 $388.58 
137	17.72	 $569.38 
138	13.71	 $497.14 
139	14.31	" $1,270.72 "
140	12.04	 $224.46 
141	13.36	 $257.04 
142	15.6	 $826.16 
143	12.86	 $434.74 
144	11.81	 $322.45 
145	10.42	 $267.16 
146	19.45	 $903.40 
147	8.1	 $574.43 
148	7.85	 $504.01 
149	11.81	 $305.11 
150	6.18	 $346.76 
151	18.5	 $558.01 
152	11.5	 $626.42 
153	13.43	 $406.64 
154	19.71	 $941.20 
155	11.49	 $536.71 
156	14.31	 $702.07 
157	15.4	 $415.36 
158	12.4	 $789.50 
159	13.71	 $364.10 
160	15.23	 $736.95 
161	14.92	 $543.29 
162	8.06	 $488.94 
