Obs	NO_SEGUIDORES	INGRESOS_POR_CONTENIDO_ONLINE
1	8879	" $4,337.99 "
2	17145	" $5,239.23 "
3	24933	" $8,069.79 "
4	3538	" $1,013.23 "
5	10474	" $3,911.36 "
6	8992	" $3,198.41 "
7	13963	" $7,844.78 "
8	11996	" $3,535.49 "
9	20149	" $8,329.06 "
10	16565	" $4,570.05 "
11	2544	" $3,052.48 "
12	7489	" $3,746.94 "
13	8688	" $3,986.08 "
14	8867	" $3,587.54 "
15	12229	" $4,777.48 "
16	5413	 $521.02 
17	6389	" $2,095.90 "
18	17357	" $8,252.72 "
19	5098	" $1,745.43 "
20	61689	" $16,893.05 "
21	12144	" $6,054.01 "
22	27062	" $9,556.66 "
23	43672	" $13,955.70 "
24	5084	" $3,731.51 "
25	8540	" $5,996.23 "
26	8997	" $1,774.78 "
27	6501	" $2,996.80 "
28	3879	" $4,641.53 "
29	11199	" $5,662.03 "
30	40617	" $13,991.94 "
31	15983	" $5,340.28 "
32	10563	" $4,835.50 "
33	28478	" $9,654.87 "
34	8472	" $5,990.75 "
35	39861	" $12,383.27 "
36	5943	" $5,412.68 "
37	8370	" $3,274.07 "
38	10592	" $6,775.63 "
39	30695	" $10,573.65 "
40	11098	" $7,052.81 "
41	7472	" $4,322.84 "
42	11836	" $4,236.59 "
43	6672	" $1,237.19 "
44	27132	" $6,172.40 "
45	4583	-$86.66 
46	6950	" $7,646.58 "
47	47927	" $14,330.24 "
48	16879	" $4,578.91 "
49	15130	" $5,959.22 "
50	11109	" $7,087.63 "
51	18544	" $7,461.02 "
52	25180	" $6,400.77 "
53	16924	" $7,407.28 "
54	226038	" $58,571.85 "
55	16306	" $3,817.89 "
56	10083	" $4,672.27 "
57	5862	" $4,432.39 "
58	17985	" $6,342.81 "
59	40900	" $10,730.84 "
60	7604	" $4,830.80 "
61	10756	" $5,867.95 "
62	7497	" $4,278.83 "
63	15805	" $5,235.10 "
64	6881	" $2,610.04 "
65	7343	" $6,242.37 "
66	20019	" $5,860.27 "
67	53797	" $18,537.66 "
68	12024	" $1,174.19 "
69	18729	" $6,600.22 "
70	23643	" $8,668.18 "
71	18582	" $5,866.62 "
72	5820	" $4,565.52 "
73	15120	" $8,014.01 "
74	3500	" $3,299.97 "
75	11682	" $5,188.22 "
76	2287	-$437.75 
77	8053	" $3,763.46 "
78	7941	" $4,739.68 "
79	36123	" $13,252.17 "
80	67011	" $20,757.23 "
81	6755	" $3,423.18 "
82	5873	" $1,987.51 "
83	4248	" $2,648.28 "
84	37279	" $11,692.21 "
85	12061	" $5,605.24 "
86	18704	" $6,015.72 "
87	8237	" $4,805.56 "
88	9550	" $7,458.44 "
89	21535	" $10,083.05 "
90	29580	" $8,356.81 "
91	8226	" $5,557.94 "
92	15706	" $6,025.96 "
93	32831	" $7,316.63 "
94	17543	" $5,542.10 "
95	4624	" $7,309.01 "
96	11550	" $6,205.98 "
97	70148	" $17,963.19 "
