Obs	HORAS_ESCANEANDO	ARTICULOS_ESCANEADOS
1	46.74	702.36
2	16.39	254.35
3	17.92	261.75
4	9.41	148.68
5	28.57	434.65
6	16.42	246.68
7	21.24	319.9
8	13.51	193.09
9	48.5	736.51
10	37.37	567.04
11	13.76	213.81
12	17.75	261.52
13	38.09	575.45
14	40.73	611.49
15	23.49	344.83
16	24.57	374.07
17	10.42	162.39
18	20.53	308.42
19	31.63	469.8
20	11.39	169.23
21	38.54	582.64
22	22.96	343.63
23	23.11	345.32
24	16.66	258.44
25	43.09	648.53
26	9.54	148.8
27	16.28	250.22
28	12.35	184.38
29	34.7	512.87
30	23.19	348.97
31	11.18	168.2
32	19.63	287.01
33	15.99	234.05
34	10.19	149.64
35	16.59	252.82
36	57.87	871.03
37	13.97	204.72
38	15.3	227.99
39	15.22	231.74
40	33.26	497.59
41	8.14	126.2
42	32.8	497.09
43	15.28	232.9
44	32	483.87
45	18.75	277.34
46	18.52	275.98
47	6.25	99.75
48	113.24	1700.94
49	34.01	515.62
50	34.26	511.91
51	20.03	299.7
52	27.17	411.97
53	75.59	1127.34
54	13.5	207.98
55	18.97	289.52
56	20.79	309.55
57	7.9	116.65
58	33.51	495.61
59	12.3	172.73
60	8.41	131.27
61	23.95	351.37
62	23.66	348.31
63	17.87	273.29
64	33.26	496.7
65	18.68	285.51
66	4.53	64.69
67	11.41	176.92
68	16.69	246.29
69	30.66	463.1
70	14.5	217.45
71	8.95	130.02
72	39.19	585.86
73	33.04	500.83
74	30.99	465.79
75	18.22	279.58
76	19.48	298.09
77	10.07	153.73
78	59.23	878.37
79	13.49	198.89
80	35.83	530.89
81	40.32	602.21
82	41.02	620.45
83	49.08	729.98
84	16.94	254.85
85	8.91	138.99
86	11.07	164.71
87	12.34	185.95
88	19.95	307.28
89	35.17	528.41
90	12.13	182.11
91	12.79	191.69
92	39.88	596.16
93	11.73	174.21
94	32.39	479.98
95	21.18	317.68
96	10.76	165.11
97	62.68	938.81
98	29.81	447.85
99	32.87	492.72
100	25.05	384.34
101	24.12	361.61
102	14.93	226.44
103	31.68	487.68
104	41.69	625.01
105	17.48	267.8
106	24.74	369.02
107	13.91	208.62
108	16.08	233.31
109	11.23	169.26
110	8.7	126.86
111	11.13	167.76
112	35.5	537.29
113	15.61	238.44
114	23.86	356.86
115	38.05	574.58
116	38.53	581.83
117	27.55	412.35
118	46.44	695.32
119	14.55	220.24
120	23.31	344.9
121	31.17	474.27
122	8.02	121.82
123	9.92	143.38
124	25.34	378.85
125	25.49	380.28
126	9.65	154.98
127	42.06	633.8
128	22.44	341.24
129	39.43	587.43
130	7.93	115.4
131	11.92	180.21
132	13.06	192.89
133	13.65	203.3
134	19.97	298.21
135	10.03	147.61
136	40.53	599.77
137	19.14	291.71
138	25.91	393.31
139	54.61	819.13
140	71.31	1074.61
141	14.43	210.17
142	29.39	436.77
143	23.65	346.86
144	15.89	238.52
145	40.93	617.57
146	29.32	443.72
147	41.8	632.83
148	23.75	354.82
149	37.74	560.07
150	25.75	392.01
151	18.96	280.98
152	17.96	256.01
153	25.47	384.22
154	27.15	406.78
155	14.41	219.72
156	16.19	247.25
157	5.43	88.52
158	18.07	275.58
159	28.48	418.55
160	10.38	152.2
161	16.46	240.93
162	18.39	277.27
163	35.45	527.5
164	17.8	271.47
165	11.86	184.06
166	6.43	100.33
167	8.32	127.23
168	27.44	420.1
169	21.77	330.97
170	8.34	127.56
171	13.03	188.29
172	38.66	574.11
173	25.72	387.01
174	65.42	982.3
175	24.79	368
176	8.72	127.54
177	7.99	124.52
178	29.78	454.53
179	23.52	359.97
180	20.57	310.76
181	51.52	773.57
182	21.28	315.33
183	39.7	592.3
184	13.82	215.18
185	17.06	256.07
186	46.23	691.88
187	17.35	259.03
188	80.74	1215.59
189	28.39	421.48
190	71.53	1083.77
191	22.2	336.39
192	12.41	187.78
193	8.13	119.95
194	12.05	185.23
195	6.2	90.54
196	29.6	447.77
197	11.38	172.05
198	50.48	766.17
199	8.88	136.5
200	24.24	359.43
201	20.33	306.03
202	36.84	555.52
203	23.28	352.59
204	6.93	114.03
205	32.01	484.3
206	19.55	302.53
207	9.26	137.93
208	21.04	316.52
209	8.97	132.56
210	10.64	166.18
211	23.1	348.65
212	9.82	147.2
213	28.42	423.61
214	17.96	272.5
215	12.23	181.67
216	13.44	204.34
217	18.43	269.86
218	33.68	517.35
219	8.51	124.24
220	15	225.08
221	24.01	371.05
222	32.94	497.49
223	22.26	338.75
224	11.92	176.24
225	25.24	373.92
226	30.96	464.65
227	13.45	214.28
228	28.22	426.97
229	12.66	194.48
230	53.04	791.66
231	10.37	150.35
232	23.72	357.08
233	10.21	156.34
234	16.29	242.11
235	39.96	601.93
236	15.78	238.29
237	10.7	165.12
238	27.46	400.68
239	19.01	289.51
240	13.4	201.96
241	28.2	418.57
242	13.22	205.18
243	15.85	234.22
244	9.99	146.94
245	15.93	238.86
246	8.6	131.48
247	16.68	248.22
248	34.04	511.18
249	13.67	206.02
250	12.25	180.81
251	10.75	163.97
252	18.3	276.92
253	10.92	167.99
254	11.61	172.84
255	14.14	208.12
256	31.67	478.96
257	15.88	241.38
