Obs	SALARIO_BASE	GASTO_EN_SAL
1	" $34,897.69 "	 $26.96 
2	" $24,260.26 "	 $25.60 
3	" $32,355.52 "	 $22.12 
4	" $15,668.06 "	 $19.29 
5	" $28,053.63 "	 $22.14 
6	" $44,132.09 "	 $22.00 
7	" $22,986.11 "	 $28.57 
8	" $46,011.02 "	 $13.53 
9	" $24,739.82 "	 $25.30 
10	" $31,943.56 "	 $26.05 
11	" $10,057.88 "	 $26.16 
12	" $37,926.51 "	 $19.58 
13	" $10,916.98 "	 $29.25 
14	" $16,072.89 "	 $20.71 
15	" $41,236.55 "	 $28.58 
16	" $21,591.62 "	 $21.29 
17	" $20,973.76 "	 $31.96 
18	" $27,702.26 "	 $20.19 
19	" $31,494.90 "	 $35.32 
20	" $15,808.90 "	 $22.19 
21	" $24,701.35 "	 $29.61 
22	" $28,371.93 "	 $22.34 
23	" $28,355.03 "	 $30.34 
24	" $38,199.20 "	 $26.57 
25	" $31,637.47 "	 $32.55 
26	" $25,993.30 "	 $20.62 
27	" $25,845.39 "	 $18.85 
28	" $29,464.07 "	 $29.43 
29	" $36,634.20 "	 $21.43 
30	" $40,476.44 "	 $20.81 
31	" $24,045.64 "	 $20.34 
32	" $27,646.01 "	 $17.85 
33	" $46,018.99 "	 $24.97 
34	" $27,155.09 "	 $24.06 
35	" $17,770.48 "	 $25.51 
36	" $23,532.20 "	 $19.39 
37	" $19,516.04 "	 $31.00 
38	" $17,161.20 "	 $27.90 
39	" $22,295.21 "	 $19.96 
40	" $41,887.81 "	 $17.12 
41	" $33,493.64 "	 $17.11 
42	" $25,502.73 "	 $22.82 
43	" $53,327.92 "	 $17.57 
44	" $29,101.85 "	 $25.12 
45	" $15,751.72 "	 $20.67 
46	" $37,403.79 "	 $24.77 
47	" $16,512.13 "	 $20.55 
48	" $20,439.74 "	 $31.56 
49	" $21,128.33 "	 $24.48 
50	" $29,048.48 "	 $25.20 
51	" $34,574.31 "	 $19.87 
52	" $28,344.48 "	 $22.30 
53	" $34,134.92 "	 $20.53 
54	" $39,475.76 "	 $24.04 
55	" $26,344.35 "	 $28.84 
56	" $40,697.03 "	 $20.48 
57	" $26,166.09 "	 $24.21 
58	" $21,003.81 "	 $27.38 
59	" $22,352.42 "	 $28.67 
60	" $40,648.82 "	 $28.63 
61	" $36,914.49 "	 $28.34 
62	" $22,473.04 "	 $22.19 
63	" $16,644.44 "	 $28.19 
64	" $48,605.95 "	 $20.41 
65	" $32,345.36 "	 $22.59 
66	" $36,980.19 "	 $18.74 
67	" $30,620.79 "	 $32.66 
68	" $34,850.65 "	 $30.70 
69	" $18,446.97 "	 $30.43 
70	" $15,724.79 "	 $23.64 
71	" $56,305.09 "	 $24.33 
72	" $30,472.43 "	 $27.60 
73	" $22,826.14 "	 $27.25 
74	" $17,984.47 "	 $22.79 
75	" $32,235.52 "	 $25.34 
76	" $24,842.74 "	 $32.34 
77	" $15,986.96 "	 $18.27 
78	" $45,925.93 "	 $23.69 
79	" $22,889.89 "	 $25.81 
80	" $31,799.25 "	 $20.47 
81	" $14,362.35 "	 $26.07 
82	" $25,111.27 "	 $28.96 
83	" $35,608.73 "	 $33.26 
84	" $30,023.26 "	 $30.18 
85	" $46,030.78 "	 $25.39 
86	" $17,188.69 "	 $16.04 
87	" $25,297.93 "	 $23.16 
88	" $26,962.94 "	 $28.69 
89	" $23,762.97 "	 $18.96 
90	" $13,367.79 "	 $22.07 
91	" $35,008.29 "	 $24.56 
92	" $26,992.02 "	 $20.88 
93	" $24,465.25 "	 $28.02 
94	" $49,029.90 "	 $17.99 
95	" $22,250.30 "	 $26.78 
96	" $40,809.95 "	 $28.06 
97	" $37,141.18 "	 $26.65 
98	" $16,164.23 "	 $28.67 
99	" $11,445.87 "	 $24.84 
100	" $28,969.68 "	 $17.23 
101	" $38,095.05 "	 $32.13 
102	" $15,872.33 "	 $25.56 
103	" $21,817.76 "	 $27.22 
104	" $36,502.45 "	 $16.64 
105	" $8,676.97 "	 $20.72 
106	" $15,509.87 "	 $25.39 
107	" $16,720.79 "	 $22.93 
108	" $31,379.18 "	 $26.55 
109	" $44,300.98 "	 $25.57 
